"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"51","12C16O_24h_100_P14_coass_bin.5",0,0.297872340425532,0.266666666666667,0.214285714285714,0.342857142857143,0.411764705882353,"72","Middle Responders"
"52","12C16O_24h_100_P16_coass_bin.13",-0.0181818181818182,-0.0526315789473684,0.0555555555555556,0,-0.0434782608695652,-0.0384615384615385,"24","Middle Responders"
"53","12C16O_24h_100_P16_coass_bin.14",0,0.210526315789474,0.368421052631579,0.236842105263158,0.32,0.291666666666667,"24","Middle Responders"
"54","12C16O_24h_100_P16_coass_bin.17",0,0.0588235294117647,0.05,-0.117647058823529,0.0344827586206897,0.0666666666666667,"72","Middle Responders"
"55","12C16O_24h_100_P16_coass_bin.6",0,0.0227272727272727,-0.0666666666666667,-0.0454545454545454,-0.0540540540540541,-0.088235294117647,"168","Late Responders"
"56","12C16O_24h_100_unf_bin.14",0,0.235294117647059,0.275862068965517,0.0588235294117647,0.225806451612903,0.25,"24","Middle Responders"
"57","12C16O_24h_100_unf_bin.18",0,-0.423913043478261,-0.25,-0.293478260869565,-0.238095238095238,-0.378787878787879,"0","Sensitive"
"58","12C16O_24h_100_unf_bin.22",0,0.357142857142857,0.15,0.214285714285714,0.291666666666667,0.363636363636364,"72","Middle Responders"
"59","12C16O_24h_100_unf_bin.32",0,0.227272727272727,0.153846153846154,-0.0454545454545455,0.333333333333333,0.428571428571429,"72","Middle Responders"
"60","12C16O_24h_100_unf_bin.43",0,0.225,0.214285714285714,0.5,0.133333333333333,0.233333333333333,"3","Early Responders"
"61","12C16O_24h_100_unf_bin.47",0,0.19,0.0181818181818182,0.0208333333333333,0.285714285714286,0.133333333333333,"48","Middle Responders"
"62","12C16O_24h_100_unf_bin.5",0,0.317829457364341,0.419161676646707,0.138888888888889,0.455958549222798,0.448453608247423,"48","Middle Responders"
"63","12C16O_24h_100_unf_bin.50",0,0.46875,0.36,-0.0333333333333333,0.444444444444444,0.535714285714286,"72","Middle Responders"
"64","12C16O_48h_100_P08_coass_bin.8",0,-0.0350877192982456,0.193548387096774,0.232142857142857,-0.0512820512820513,0.05,"3","Early Responders"
"65","12C16O_48h_100_P14_coass_bin.1",0,0.228571428571429,0.592592592592593,0.147058823529412,0.586206896551724,0.464285714285714,"24","Middle Responders"
"66","12C16O_48h_100_P14_coass_bin.3",0,0.0454545454545454,0.357142857142857,0.181818181818182,0.411764705882353,0.25,"48","Middle Responders"
"67","12C16O_48h_100_P14_coass_bin.33",0,0.461538461538462,0.538461538461538,0.153846153846154,0.35,0.35,"24","Middle Responders"
"68","12C16O_48h_100_unf_bin.14",0,-0.184210526315789,-0.388888888888889,-0.184210526315789,-0.32,-0.291666666666667,"0","Sensitive"
"69","12C16O_48h_100_unf_bin.19",0,0.290322580645161,0.35,0.1,0.408163265306122,0.458333333333333,"72","Middle Responders"
